Inning,AtBat,PitcherName,BatterName,Result,PitchVelo,BatterTimeToFirst,BatterTop,ExitVelo,LaunchAng,ActualDistance,BaserunnerMaxSpeed,BaserunnerInitial,BaserunnerSecondary,BaserunnerFinal,IsEventPlayer,EventPlayerName,FielderProbability,FielderRouteEfficiency,FielderMove,FielderReaction,FielderReactionAngle,FielderTransfer,FielderThrow,FielderThrowDistance,FielderMaxSpeed
8,65,Wyatt Danilowicz,Carson Kerce,In Play Fly Out,88.8734,5.809,14.4447,91.7102,51.3492,266.4263,18.2132,11.5521,12.8402,15.9209,True,King Jr. Eddie,99.93,94.30,54.451,1.65,2.4893,,,,17.1715
9,66,Mason Patel,Jake Munroe,Ball,80.6621,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,66,Mason Patel,Jake Munroe,Strike Looking,82.702,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,66,Mason Patel,Jake Munroe,Strike Looking,88.7028,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,66,Mason Patel,Jake Munroe,Ball,81.3519,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,66,Mason Patel,Jake Munroe,Foul Ball,83.0112,,,,,,,,,,False,,,,,,,,,,
9,66,Mason Patel,Jake Munroe,In Play Ground Out,90.0167,4.427,18.2433,103.2475,-2.8947,36.6953,,,,,True,Lodise Kyle,,98.44,5.0947,1.32,0.5396,1.518,81.8274,116.7369,5.6725
9,67,Mason Patel,Eddie King Jr.,Ball,80.3136,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,67,Mason Patel,Eddie King Jr.,Strike Swinging,91.752,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,67,Mason Patel,Eddie King Jr.,Ball,80.9917,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,67,Mason Patel,Eddie King Jr.,Strike Swinging,80.5783,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,67,Mason Patel,Eddie King Jr.,Foul Ball,82.0211,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,67,Mason Patel,Eddie King Jr.,Ball,81.6612,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,67,Mason Patel,Eddie King Jr.,In Play Ground Out,83.8384,4.554,17.6312,84.3505,-4.6931,34.4817,,,,,True,Kerce Carson,,99.85,8.0278,1.089,0.0509,1.32,85.6788,134.9772,8.423
9,68,Mason Patel,Tague Davis,Ball,89.3104,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,68,Mason Patel,Tague Davis,Ball,79.7986,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,68,Mason Patel,Tague Davis,Strike Looking,90.9862,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
9,68,Mason Patel,Tague Davis,Foul Ball,90.1614,,,,,,,,,,False,,,,,,,,,,
9,68,Mason Patel,Tague Davis,Strike Swinging Strike Out Swinging,81.632,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
