Inning,AtBat,PitcherName,BatterName,Result,PitchVelo,BatterTimeToFirst,BatterTop,ExitVelo,LaunchAng,ActualDistance,BaserunnerMaxSpeed,BaserunnerInitial,BaserunnerSecondary,BaserunnerFinal,IsEventPlayer,EventPlayerName,FielderProbability,FielderRouteEfficiency,FielderMove,FielderReaction,FielderReactionAngle,FielderTransfer,FielderThrow,FielderThrowDistance,FielderMaxSpeed
6,50,Brennyn Cutts,Kent Schmidt,Strike Looking,81.9791,,,,,,,13.6494,14.7568,17.2697,True,Tyson Tagger,,,,,,,,,
6,50,Brennyn Cutts,Kent Schmidt,Foul Ball,89.8912,,,,,,,13.5158,15.073,17.8058,False,,,,,,,,,,
6,50,Brennyn Cutts,Kent Schmidt,In Play Single,93.3523,4.772,16.6726,75.4009,19.8048,190.6121,19.4424,13.1615,14.2137,16.5128,True,Rose Zion,0.00,96.29,64.9556,0.99,24.0248,1.089,87.508,193.0621,16.595
6,51,Brennyn Cutts,Kyle Lodise,Strike Swinging,78.3366,,,,,,,14.4506,16.4187,19.544,True,Tyson Tagger,,,,,,,,,
6,51,Brennyn Cutts,Kyle Lodise,In Play Fly Out,91.917,4.851,17.2455,,65.6015,157.4287,15.41,15.9859,18.5824,20.4567,True,Alicea Alex,,62.43,38.5398,1.617,10.1968,,,,9.8109
7,52,Brady Jones,Jake Munroe,In Play Ground Out,80.2266,4.257,19.2877,72.5116,-6.1343,15.5984,,,,,True,Lodise Kyle,,97.98,20.1267,0.924,14.7361,1.023,86.7878,94.04,9.1652
7,53,Brady Jones,Eddie King Jr.,Strike Looking,80.7785,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
7,53,Brady Jones,Eddie King Jr.,In Play Ground Out,93.5967,4.456,18.4851,67.8975,-12.8445,7.8298,,,,,True,Lodise Kyle,,99.41,28.8081,0.726,8.9173,1.287,84.9739,80.4419,15.6051
7,54,Brady Jones,Garret Pike,Ball,80.1773,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
7,54,Brady Jones,Garret Pike,Ball,92.7992,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
7,54,Brady Jones,Garret Pike,Strike Swinging,88.5568,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
7,54,Brady Jones,Garret Pike,Ball,89.795,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
7,54,Brady Jones,Garret Pike,Strike Swinging,92.5791,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
7,54,Brady Jones,Garret Pike,Foul Ball,89.5635,,,,,,,,,,False,,,,,,,,,,
7,54,Brady Jones,Garret Pike,Foul Ball,88.4249,,,,,,,,,,False,,,,,,,,,,
7,54,Brady Jones,Garret Pike,Foul Ball,82.4147,,,,,,,,,,False,,,,,,,,,,
7,54,Brady Jones,Garret Pike,Foul Ball,95.6779,,,,,,,,,,False,,,,,,,,,,
7,54,Brady Jones,Garret Pike,In Play Single,82.1956,4.761,16.4512,92.7764,12.9174,202.1076,,,,,True,Brosius Parker,0.00,95.15,31.5309,1.122,17.8702,1.386,62.3889,144.7347,11.8623
7,55,Brady Jones,Bayram Hot,Ball,92.4072,,,,,,,14.0729,16.3654,19.9304,True,Lackey Vahn,,,,,,,,,
7,55,Brady Jones,Bayram Hot,Strike Swinging,90.4224,,,,,,,14.1718,16.7845,20.1629,True,Lackey Vahn,,,,,,,,,
7,55,Brady Jones,Bayram Hot,Foul Ball,78.5613,,,,,,,11.8116,13.687,16.7288,False,,,,,,,,,,
7,55,Brady Jones,Bayram Hot,Foul Ball,95.5096,,,,,,,20.3336,26.4199,34.0304,False,,,,,,,,,,
7,55,Brady Jones,Bayram Hot,Foul Ball,96.0296,,,,,,,18.7416,26.4992,33.5925,False,,,,,,,,,,
7,55,Brady Jones,Bayram Hot,In Play Ground Out,79.5935,4.52,17.832,103.1341,-5.5921,20.7046,16.7495,20.4106,27.6467,36.7088,True,Kerce Carson,,60.54,,,,1.221,80.8204,126.2881,6.2358
